Total unique genes matched: 23
Unique genes (alphabetical order):
ace2 (2541661)
cdc7 (2540660)
cnd1 (2541201)
cog6 (2541207)
gga22 (2540570)
hsk1 (2541165)
kgd2 (2541170)
lcl3 (2540556)
mcs6 (2540471)
med8 (2540761)
meu22 (2540779)
nup189 (2541547)
plh1 (2541187)
pmh1 (2540684)
ppk24 (2540596)
rpl2801 (2541130)
rps401 (2540649)
rrp7 (2541174)
spn7 (2540413)
thi1 (2541581)
trs120 (2542375)
tsr401 (2540619)
yap18 (2540702)

Unique genes matched on chromosome NC_032089.1: 12
Unique genes matched on chromosome NC_032090.1: 11
Unique genes matched on chromosome NC_032091.1: 6
Unique genes matched on chromosome NC_032092.1: 6
Unique genes matched on chromosome NC_032093.1: 6
Unique genes matched on chromosome NC_032094.1: 5
Unique genes matched on chromosome NC_032095.1: 6
Unique genes matched on chromosome NC_032096.1: 10

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_032089.1                                       3639535                                           PUT3                                              1494130                                           1497066                                           XM_713700.1                                       65                                                2.00e-11                                          73/306                                            2937                                              775                                               Query= 2541581|NP_594098.2|chromosome II|thi1|1|3211872|3214508|N/A|775|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[280, 551, '73/306 (24%)', '127/306 (42%)', 65.9, '2e-11']]
NC_032096.1                                       3639710                                           MKC1                                              30873                                             32402                                             XM_713587.1                                       75                                                5.00e-15                                          98/419                                            1530                                              507                                               Query= 2541165|NP_596328.1|chromosome II|hsk1|-1|3197059|3199200|N/A|507|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[68, 462, '98/419 (23%)', '163/419 (39%)', 75.5, '5e-15']]
NC_032094.1                                       3645862                                           Unknown                                           454198                                            455418                                            XM_707406.2                                       74                                                1.00e-14                                          72/254                                            1221                                              507                                               Query= 2541165|NP_596328.1|chromosome II|hsk1|-1|3197059|3199200|N/A|507|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[181, 433, '72/254 (28%)', '98/254 (39%)', 74.3, '1e-14']]
NC_032090.1                                       3648277                                           RIM11                                             899422                                            900651                                            XM_705034.2                                       73                                                2.00e-14                                          81/360                                            1230                                              507                                               Query= 2541165|NP_596328.1|chromosome II|hsk1|-1|3197059|3199200|N/A|507|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[164, 502, '81/360 (23%)', '138/360 (38%)', 73.2, '2e-14']]
NC_032090.1                                       3637326                                           Unknown                                           897773                                            900651                                            XM_019475225.1                                    73                                                3.00e-14                                          74/326                                            2094                                              507                                               Query= 2541165|NP_596328.1|chromosome II|hsk1|-1|3197059|3199200|N/A|507|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[192, 502, '74/326 (23%)', '123/326 (38%)', 73.6, '3e-14']]
NC_032089.1                                       3643338                                           CSK1                                              3087546                                           3088738                                           XM_019475185.1                                    67                                                2.00e-12                                          82/353                                            1125                                              507                                               Query= 2541165|NP_596328.1|chromosome II|hsk1|-1|3197059|3199200|N/A|507|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[126, 455, '82/353 (23%)', '137/353 (39%)', 67.0, '2e-12']]
NC_032096.1                                       30515386                                          RPL28                                             692731                                            693531                                            XM_019475522.1                                    162                                               6.00e-53                                          100/149                                           450                                               148                                               Query= 2541130|NP_596326.1|chromosome II|rpl2801|1|3196462|3197058|N/A|148|No description available                                                                                                                                                                                                                                                                                                                                                                                                                 [[1, 148, '100/149 (67%)', '121/149 (81%)', 162.0, '6e-53']]
NC_032090.1                                       3647472                                           Unknown                                           1196120                                           1198435                                           XM_705825.2                                       86                                                4.00e-18                                          122/504                                           2316                                              675                                               Query= 2541207|NP_596325.1|chromosome II|cog6|-1|3193252|3195692|N/A|675|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[160, 623, '122/504 (24%)', '226/504 (45%)', 86.7, '4e-18']]
NC_032090.1                                       3645446                                           MED8                                              949282                                            950001                                            XM_707830.2                                       67                                                2.00e-14                                          38/102                                            720                                               200                                               Query= 2540761|NP_596338.1|chromosome II|med8|1|3219404|3222151|N/A|200|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[11, 106, '38/102 (37%)', '58/102 (57%)', 67.8, '2e-14']]
NC_032090.1                                       3643459                                           CDC15                                             1060271                                           1063651                                           XM_709811.2                                       254                                               9.00e-71                                          134/268                                           3381                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[1, 266, '134/268 (50%)', '181/268 (68%)', 254.0, '9e-71'], [584, 904, '86/332 (26%)', '148/332 (45%)', 76.3, '2e-14']]
NC_032095.1                                       3641384                                           BCK1                                              648090                                            652049                                            XM_711891.2                                       181                                               6.00e-47                                          103/282                                           3960                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[12, 281, '103/282 (37%)', '166/282 (59%)', 181.0, '6e-47']]
NC_032089.1                                       3636912                                           Unknown                                           731029                                            732438                                            XM_716454.2                                       169                                               1.00e-45                                          105/275                                           1410                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[10, 258, '105/275 (38%)', '147/275 (53%)', 169.0, '1e-45']]
NC_032090.1                                       3637369                                           STE11                                             795612                                            798083                                            XM_715875.2                                       175                                               1.00e-45                                          99/263                                            2472                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[12, 254, '99/263 (38%)', '152/263 (58%)', 175.0, '1e-45']]
NC_032094.1                                       3645889                                           Unknown                                           449471                                            451141                                            XM_707403.2                                       160                                               7.00e-42                                          99/258                                            1671                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 259, '99/258 (38%)', '139/258 (54%)', 160.0, '7e-42']]
NC_032092.1                                       3641144                                           SSK2                                              1071853                                           1076304                                           XM_712087.2                                       164                                               2.00e-41                                          97/281                                            4452                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[12, 260, '97/281 (35%)', '147/281 (52%)', 164.0, '2e-41']]
NC_032090.1                                       3647784                                           KIC1                                              997716                                            1000391                                           XM_705526.2                                       160                                               1.00e-40                                          100/271                                           2676                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[13, 268, '100/271 (37%)', '149/271 (55%)', 160.0, '1e-40']]
NC_032093.1                                       3637790                                           CST20                                             517861                                            521547                                            XM_715458.1                                       156                                               3.00e-39                                          89/249                                            3687                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 259, '89/249 (36%)', '136/249 (55%)', 156.0, '3e-39']]
NC_032089.1                                       3634878                                           CLA4                                              2249405                                           2252335                                           XM_718480.1                                       148                                               8.00e-37                                          93/251                                            2931                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[16, 259, '93/251 (37%)', '143/251 (57%)', 148.0, '8e-37']]
NC_032091.1                                       3641748                                           PBS2                                              1378314                                           1379951                                           XM_711536.1                                       127                                               7.00e-31                                          96/280                                            1638                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 277, '96/280 (34%)', '146/280 (52%)', 127.0, '7e-31']]
NC_032091.1                                       3645633                                           RAD53                                             799968                                            802067                                            XM_707644.2                                       125                                               9.00e-30                                          88/273                                            2100                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[9, 259, '88/273 (32%)', '136/273 (50%)', 125.0, '9e-30']]
NC_032089.1                                       3644543                                           GIN4                                              2497783                                           2501832                                           XM_708703.2                                       125                                               2.00e-29                                          89/268                                            4050                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[11, 257, '89/268 (33%)', '133/268 (50%)', 125.0, '2e-29']]
NC_032090.1                                       3643961                                           CMK2                                              2112284                                           2113717                                           XM_709307.2                                       120                                               4.00e-29                                          82/260                                            1434                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[10, 260, '82/260 (32%)', '133/260 (51%)', 120.0, '4e-29']]
NC_032089.1                                       3634879                                           TPK1                                              2255500                                           2256717                                           XM_718481.2                                       119                                               4.00e-29                                          76/250                                            1218                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[14, 258, '76/250 (30%)', '131/250 (52%)', 119.0, '4e-29']]
NC_032090.1                                       3643482                                           TPK2                                              1469096                                           1470337                                           XM_709773.2                                       119                                               6.00e-29                                          73/252                                            1242                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[14, 260, '73/252 (29%)', '128/252 (51%)', 119.0, '6e-29']]
NC_032094.1                                       3645876                                           IPL1                                              481253                                            482839                                            XM_707420.2                                       119                                               2.00e-28                                          78/277                                            1587                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[11, 263, '78/277 (28%)', '134/277 (48%)', 119.0, '2e-28']]
NC_032090.1                                       3641199                                           KIN3                                              2169608                                           2170894                                           XM_712035.1                                       115                                               1.00e-27                                          86/264                                            1287                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[13, 247, '86/264 (33%)', '129/264 (49%)', 115.0, '1e-27']]
NC_032089.1                                       3639281                                           CDC5                                              191444                                            193405                                            XM_713879.1                                       115                                               5.00e-27                                          73/252                                            1962                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[12, 258, '73/252 (29%)', '129/252 (51%)', 115.0, '5e-27']]
NC_032089.1                                       3646148                                           PHO85                                             932754                                            933831                                            XM_019475098.1                                    110                                               1.00e-26                                          84/283                                            999                                               1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[15, 258, '84/283 (30%)', '135/283 (48%)', 110.0, '1e-26']]
NC_032089.1                                       3639561                                           Unknown                                           1353982                                           1355679                                           XM_713769.1                                       112                                               3.00e-26                                          89/292                                            1698                                              1062                                              Query= 2540660|NP_596340.1|chromosome II|cdc7|-1|3222350|3226504|N/A|1062|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[56, 333, '89/292 (30%)', '141/292 (48%)', 112.0, '3e-26']]
