Total unique genes matched: 24
Unique genes (alphabetical order):
alg9 (2542331)
apl5 (2542857)
aro1 (2542115)
cdc45 (2542266)
cia2 (2542897)
cis4 (2542250)
gpn2 (2542899)
gwt1 (2542825)
hhf1 (2542463)
hht1 (2542467)
irc20 (2542902)
klp3 (2542195)
klp8 (2542849)
mak1 (2542119)
mug51 (2542159)
N/A (2542894)
pex7 (5802962)
pmo25 (2542388)
rki1 (2542821)
rps1102 (2542904)
sec18 (2542410)
sfc2 (2542887)
spe1 (2542855)
vrg4 (2542850)

Unique genes matched on chromosome NC_032089.1: 10
Unique genes matched on chromosome NC_032090.1: 10
Unique genes matched on chromosome NC_032091.1: 7
Unique genes matched on chromosome NC_032092.1: 6
Unique genes matched on chromosome NC_032093.1: 4
Unique genes matched on chromosome NC_032094.1: 1
Unique genes matched on chromosome NC_032095.1: 4
Unique genes matched on chromosome NC_032096.1: 10

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_032089.1                                       3641768                                           VRG4                                              1674155                                           1675270                                           XM_711447.2                                       394                                               1.00e-137                                         195/308                                           1116                                              345                                               Query= 2542850|NP_594679.1|chromosome I|vrg4|1|4690140|4691827|N/A|345|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[8, 310, '195/308 (63%)', '241/308 (78%)', 394.0, '1e-137']]
NC_032093.1                                       30515301                                          Unknown                                           342887                                            343737                                            XM_019475412.1                                    252                                               4.00e-88                                          120/155                                           468                                               152                                               Query= 2542904|NP_594672.1|chromosome I|rps1102|1|4674587|4675180|N/A|152|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[1, 152, '120/155 (77%)', '131/155 (85%)', 252.0, '4e-88']]
NC_032093.1                                       3647063                                           Unknown                                           343387                                            343875                                            XM_706261.2                                       196                                               9.00e-66                                          91/116                                            489                                               152                                               Query= 2542904|NP_594672.1|chromosome I|rps1102|1|4674587|4675180|N/A|152|No description available                                                                                                                                                                                                                                                                                                                                                                                                                  [[37, 152, '91/116 (78%)', '101/116 (87%)', 196.0, '9e-66']]
NC_032090.1                                       3645575                                           GWT1                                              1170270                                           1171727                                           XM_707720.2                                       212                                               1.00e-63                                          166/500                                           1458                                              459                                               Query= 2542825|NP_594671.1|chromosome I|gwt1|-1|4671422|4673031|N/A|459|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[2, 459, '166/500 (33%)', '254/500 (51%)', 212.0, '1e-63']]
NC_032090.1                                       3648113                                           PZF1                                              1015779                                           1017017                                           XM_705192.2                                       151                                               2.00e-42                                          122/365                                           1239                                              374                                               Query= 2542887|NP_594670.1|chromosome I|sfc2|-1|4669626|4671247|N/A|374|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[21, 373, '122/365 (33%)', '176/365 (48%)', 151.0, '2e-42']]
NC_032096.1                                       3647694                                           Unknown                                           556957                                            560259                                            XM_705618.2                                       71                                                6.00e-14                                          42/119                                            3303                                              374                                               Query= 2542887|NP_594670.1|chromosome I|sfc2|-1|4669626|4671247|N/A|374|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[24, 142, '42/119 (35%)', '62/119 (52%)', 71.6, '6e-14'], [21, 103, '35/83 (42%)', '47/83 (57%)', 69.3, '3e-13'], [55, 169, '39/115 (34%)', '57/115 (50%)', 64.3, '1e-11']]
NC_032092.1                                       3641162                                           CSR1                                              1042165                                           1044021                                           XM_712106.2                                       70                                                1.00e-13                                          42/123                                            1857                                              374                                               Query= 2542887|NP_594670.1|chromosome I|sfc2|-1|4669626|4671247|N/A|374|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[16, 134, '42/123 (34%)', '61/123 (50%)', 70.5, '1e-13']]
NC_032093.1                                       3643771                                           Unknown                                           453808                                            454866                                            XM_709494.2                                       305                                               1.00e-103                                         151/296                                           1059                                              315                                               Query= 2542899|NP_594668.1|chromosome I|gpn2|-1|4667118|4668752|N/A|315|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[3, 289, '151/296 (51%)', '207/296 (70%)', 305.0, '1e-103']]
NC_032092.1                                       3642918                                           Unknown                                           1513766                                           1514587                                           XM_710346.2                                       151                                               2.00e-44                                          81/231                                            822                                               315                                               Query= 2542899|NP_594668.1|chromosome I|gpn2|-1|4667118|4668752|N/A|315|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[6, 231, '81/231 (35%)', '139/231 (60%)', 151.0, '2e-44']]
NC_032095.1                                       3636946                                           Unknown                                           530886                                            532163                                            XM_716213.2                                       80                                                2.00e-17                                          63/244                                            1278                                              315                                               Query= 2542899|NP_594668.1|chromosome I|gpn2|-1|4667118|4668752|N/A|315|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[2, 236, '63/244 (26%)', '116/244 (48%)', 80.1, '2e-17']]
NC_032091.1                                       3638377                                           APL5                                              559817                                            563116                                            XM_714854.2                                       364                                               1.00e-111                                         202/511                                           3300                                              825                                               Query= 2542857|NP_594667.2|chromosome I|apl5|1|4664333|4668407|N/A|825|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 485, '202/511 (40%)', '314/511 (61%)', 364.0, '1e-111']]
NC_032096.1                                       3642565                                           APL4                                              655163                                            657649                                            XM_710682.2                                       99                                                7.00e-22                                          95/380                                            2487                                              825                                               Query= 2542857|NP_594667.2|chromosome I|apl5|1|4664333|4668407|N/A|825|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[15, 368, '95/380 (25%)', '174/380 (46%)', 99.4, '7e-22']]
NC_032089.1                                       3636874                                           RAD16                                             585914                                            588472                                            XM_716375.2                                       99                                                2.00e-21                                          97/422                                            2559                                              1375                                              Query= 2542902|NP_001342916.1|chromosome I|irc20|1|4659096|4663842|N/A|1375|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[212, 583, '97/422 (23%)', '176/422 (42%)', 99.8, '2e-21'], [1091, 1324, '61/253 (24%)', '120/253 (47%)', 88.6, '5e-18']]
NC_032090.1                                       3638827                                           Unknown                                           44274                                             47528                                             XM_714450.2                                       98                                                6.00e-21                                          104/394                                           3255                                              1375                                              Query= 2542902|NP_001342916.1|chromosome I|irc20|1|4659096|4663842|N/A|1375|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[231, 580, '104/394 (26%)', '175/394 (44%)', 98.2, '6e-21'], [1062, 1326, '74/283 (26%)', '123/283 (43%)', 91.3, '8e-19']]
NC_032092.1                                       3645010                                           Unknown                                           74264                                             77572                                             XM_708263.2                                       96                                                2.00e-20                                          82/294                                            3309                                              1375                                              Query= 2542902|NP_001342916.1|chromosome I|irc20|1|4659096|4663842|N/A|1375|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[1087, 1333, '82/294 (28%)', '124/294 (42%)', 96.3, '2e-20'], [278, 580, '88/338 (26%)', '152/338 (45%)', 77.0, '2e-14']]
NC_032089.1                                       3644472                                           Unknown                                           1581153                                           1584276                                           XM_019475126.1                                    83                                                1.00e-16                                          82/335                                            3054                                              1375                                              Query= 2542902|NP_001342916.1|chromosome I|irc20|1|4659096|4663842|N/A|1375|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[286, 605, '82/335 (24%)', '155/335 (46%)', 83.6, '1e-16']]
NC_032090.1                                       3641231                                           RDH54                                             2221521                                           2223911                                           XM_712076.1                                       68                                                5.00e-12                                          42/164                                            2391                                              1375                                              Query= 2542902|NP_001342916.1|chromosome I|irc20|1|4659096|4663842|N/A|1375|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[1168, 1326, '42/164 (26%)', '77/164 (47%)', 68.6, '5e-12']]
NC_032090.1                                       3645220                                           SWR1                                              1539744                                           1544669                                           XM_708035.2                                       68                                                9.00e-12                                          39/130                                            4926                                              1375                                              Query= 2542902|NP_001342916.1|chromosome I|irc20|1|4659096|4663842|N/A|1375|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[1206, 1331, '39/130 (30%)', '65/130 (50%)', 68.2, '9e-12']]
NC_032096.1                                       3644142                                           Unknown                                           1726113                                           1729280                                           XM_709141.2                                       67                                                1.00e-11                                          91/407                                            3168                                              1375                                              Query= 2542902|NP_001342916.1|chromosome I|irc20|1|4659096|4663842|N/A|1375|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[235, 598, '91/407 (22%)', '171/407 (42%)', 67.8, '1e-11']]
NC_032096.1                                       3644849                                           Unknown                                           1650950                                           1654243                                           XM_708422.2                                       67                                                2.00e-11                                          37/131                                            3294                                              1375                                              Query= 2542902|NP_001342916.1|chromosome I|irc20|1|4659096|4663842|N/A|1375|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[1206, 1332, '37/131 (28%)', '66/131 (50%)', 67.0, '2e-11']]
NC_032091.1                                       3642235                                           ISW2                                              1438401                                           1441571                                           XM_710973.1                                       66                                                2.00e-11                                          82/343                                            3171                                              1375                                              Query= 2542902|NP_001342916.1|chromosome I|irc20|1|4659096|4663842|N/A|1375|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[286, 605, '82/343 (24%)', '144/343 (42%)', 66.6, '2e-11']]
NC_032090.1                                       3645462                                           Unknown                                           940654                                            946401                                            XM_707835.2                                       66                                                3.00e-11                                          38/122                                            5748                                              1375                                              Query= 2542902|NP_001342916.1|chromosome I|irc20|1|4659096|4663842|N/A|1375|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[1206, 1320, '38/122 (31%)', '63/122 (52%)', 66.6, '3e-11']]
NC_032089.1                                       3639327                                           SPE1                                              129260                                            130681                                            XM_713901.2                                       315                                               5.00e-104                                         176/421                                           1422                                              432                                               Query= 2542855|NP_594665.1|chromosome I|spe1|-1|4656534|4658355|N/A|432|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[43, 429, '176/421 (42%)', '259/421 (62%)', 315.0, '5e-104']]
NC_032092.1                                       3635680                                           ARO1                                              159230                                            163885                                            XM_717676.2                                       1500                                              0.0                                               809/1587                                          4656                                              1573                                              Query= 2542115|NP_594681.1|chromosome I|aro1|1|4693722|4698605|N/A|1573|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[6, 1573, '809/1587 (51%)', '1090/1587 (69%)', 1500.0, '0.0']]
NC_032089.1                                       3644705                                           HHF1                                              880940                                            881257                                            XM_708570.1                                       155                                               3.00e-51                                          76/82                                             318                                               103                                               Query= 2542463|NP_001417934.1|chromosome I|hhf1|-1|4698772|4699598|N/A|103|No description available                                                                                                                                                                                                                                                                                                                                                                                                                 [[22, 103, '76/82 (93%)', '79/82 (96%)', 155.0, '3e-51']]
NC_032096.1                                       3647327                                           HHF22                                             1460975                                           1461292                                           XM_705991.1                                       155                                               3.00e-51                                          76/82                                             318                                               103                                               Query= 2542463|NP_001417934.1|chromosome I|hhf1|-1|4698772|4699598|N/A|103|No description available                                                                                                                                                                                                                                                                                                                                                                                                                 [[22, 103, '76/82 (93%)', '79/82 (96%)', 155.0, '3e-51']]
NC_032089.1                                       3644707                                           HHT21                                             882165                                            882575                                            XM_708572.1                                       235                                               6.00e-82                                          129/136                                           411                                               136                                               Query= 2542467|NP_594683.1|chromosome I|hht1|1|4699731|4700559|N/A|136|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 136, '129/136 (95%)', '133/136 (98%)', 235.0, '6e-82']]
NC_032096.1                                       3647326                                           HHT2                                              1462250                                           1462660                                           XM_705990.1                                       235                                               6.00e-82                                          129/136                                           411                                               136                                               Query= 2542467|NP_594683.1|chromosome I|hht1|1|4699731|4700559|N/A|136|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 136, '129/136 (95%)', '133/136 (98%)', 235.0, '6e-82']]
NC_032091.1                                       3638444                                           HHT1                                              1622261                                           1622671                                           XM_714794.1                                       232                                               7.00e-81                                          127/136                                           411                                               136                                               Query= 2542467|NP_594683.1|chromosome I|hht1|1|4699731|4700559|N/A|136|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 136, '127/136 (93%)', '132/136 (97%)', 232.0, '7e-81']]
NC_032091.1                                       3647750                                           CSE4                                              173043                                            173678                                            XM_705552.2                                       141                                               9.00e-44                                          73/102                                            636                                               136                                               Query= 2542467|NP_594683.1|chromosome I|hht1|1|4699731|4700559|N/A|136|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[36, 134, '73/102 (72%)', '85/102 (83%)', 141.0, '9e-44']]
NC_032089.1                                       3644457                                           ALG9                                              1554222                                           1555904                                           XM_708793.2                                       251                                               9.00e-77                                          178/531                                           1683                                              577                                               Query= 2542331|NP_594684.1|chromosome I|alg9|1|4702267|4704742|N/A|577|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[28, 545, '178/531 (34%)', '271/531 (51%)', 251.0, '9e-77']]
NC_032090.1                                       3637355                                           HYM1                                              889091                                            890104                                            XM_715827.1                                       234                                               1.00e-75                                          128/332                                           1014                                              329                                               Query= 2542388|NP_594685.1|chromosome I|pmo25|-1|4704487|4705940|N/A|329|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[1, 329, '128/332 (39%)', '208/332 (63%)', 234.0, '1e-75']]
NC_032089.1                                       3642032                                           KIP4                                              2626511                                           2629225                                           XM_711241.1                                       380                                               1.00e-122                                         197/353                                           2715                                              554                                               Query= 2542195|NP_594686.1|chromosome I|klp3|1|4706777|4709251|N/A|554|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 344, '197/353 (56%)', '257/353 (73%)', 380.0, '1e-122']]
NC_032096.1                                       3645261                                           KIP1                                              1393317                                           1396052                                           XM_707979.2                                       215                                               4.00e-61                                          127/312                                           2736                                              554                                               Query= 2542195|NP_594686.1|chromosome I|klp3|1|4706777|4709251|N/A|554|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[45, 331, '127/312 (41%)', '193/312 (62%)', 215.0, '4e-61']]
NC_032091.1                                       3641716                                           KIP3                                              1279891                                           1282809                                           XM_711501.1                                       198                                               4.00e-55                                          114/295                                           2919                                              554                                               Query= 2542195|NP_594686.1|chromosome I|klp3|1|4706777|4709251|N/A|554|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[45, 332, '114/295 (39%)', '170/295 (58%)', 198.0, '4e-55']]
NC_032090.1                                       3644078                                           KAR3                                              1908759                                           1910822                                           XM_709178.2                                       195                                               6.00e-55                                          118/286                                           2064                                              554                                               Query= 2542195|NP_594686.1|chromosome I|klp3|1|4706777|4709251|N/A|554|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[45, 322, '118/286 (41%)', '171/286 (60%)', 195.0, '6e-55']]
NC_032089.1                                       3644578                                           Unknown                                           432225                                            433841                                            XM_708668.2                                       178                                               9.00e-50                                          120/310                                           1617                                              554                                               Query= 2542195|NP_594686.1|chromosome I|klp3|1|4706777|4709251|N/A|554|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[72, 344, '120/310 (39%)', '168/310 (54%)', 178.0, '9e-50']]
NC_032090.1                                       3643954                                           KIP2                                              2125311                                           2127308                                           XM_709300.2                                       173                                               2.00e-47                                          121/308                                           1998                                              554                                               Query= 2542195|NP_594686.1|chromosome I|klp3|1|4706777|4709251|N/A|554|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[45, 334, '121/308 (39%)', '169/308 (55%)', 173.0, '2e-47']]
NC_032095.1                                       3641358                                           NIK1                                              601521                                            604766                                            XM_711910.2                                       170                                               5.00e-43                                          113/295                                           3246                                              1639                                              Query= 2542119|NP_594687.1|chromosome I|mak1|1|4709708|4715260|N/A|1639|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[931, 1219, '113/295 (38%)', '163/295 (55%)', 170.0, '5e-43'], [1487, 1636, '54/155 (35%)', '90/155 (58%)', 84.7, '8e-17']]
NC_032090.1                                       3637394                                           CHK1                                              683898                                            691313                                            XM_715924.2                                       154                                               7.00e-38                                          87/237                                            7416                                              1639                                              Query= 2542119|NP_594687.1|chromosome I|mak1|1|4709708|4715260|N/A|1639|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[979, 1215, '87/237 (37%)', '129/237 (54%)', 154.0, '7e-38'], [1508, 1633, '43/130 (33%)', '70/130 (54%)', 68.2, '1e-11']]
NC_032096.1                                       3640422                                           SLN1                                              221874                                            225995                                            XM_712853.1                                       71                                                1.00e-12                                          46/125                                            4122                                              1639                                              Query= 2542119|NP_594687.1|chromosome I|mak1|1|4709708|4715260|N/A|1639|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[1504, 1625, '46/125 (37%)', '73/125 (58%)', 71.6, '1e-12']]
NC_032093.1                                       3641563                                           SKN7                                              40891                                             42570                                             XM_711716.1                                       65                                                3.00e-11                                          40/121                                            1680                                              1639                                              Query= 2542119|NP_594687.1|chromosome I|mak1|1|4709708|4715260|N/A|1639|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[1506, 1626, '40/121 (33%)', '64/121 (53%)', 65.9, '3e-11']]
NC_032090.1                                       3643497                                           Unknown                                           1438706                                           1439890                                           XM_709755.2                                       64                                                3.00e-12                                          46/147                                            1185                                              306                                               Query= 2542159|NP_594688.1|chromosome I|mug51|1|4716549|4717759|N/A|306|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[172, 300, '46/147 (31%)', '73/147 (50%)', 64.7, '3e-12']]
NC_032089.1                                       3636208                                           SEC18                                             2981409                                           2983799                                           XM_717106.2                                       634                                               0.0                                               343/790                                           2391                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[29, 786, '343/790 (43%)', '496/790 (63%)', 634.0, '0.0']]
NC_032089.1                                       3644440                                           CDC48                                             2390629                                           2393109                                           XM_708852.1                                       171                                               9.00e-45                                          96/240                                            2481                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[271, 509, '96/240 (40%)', '141/240 (59%)', 171.0, '9e-45'], [271, 620, '125/358 (35%)', '185/358 (52%)', 170.0, '2e-44']]
NC_032093.1                                       3637735                                           RIX7                                              474334                                            476817                                            XM_715437.2                                       157                                               4.00e-40                                          102/260                                           2484                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[293, 540, '102/260 (39%)', '151/260 (58%)', 157.0, '4e-40'], [271, 506, '77/243 (32%)', '124/243 (51%)', 104.0, '2e-23']]
NC_032089.1                                       3642461                                           RPT1                                              1104007                                           1105341                                           XM_710783.2                                       148                                               6.00e-39                                          101/279                                           1335                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[261, 537, '101/279 (36%)', '143/279 (51%)', 148.0, '6e-39']]
NC_032096.1                                       3640966                                           RPT4                                              903050                                            904336                                            XM_712252.1                                       146                                               3.00e-38                                          93/238                                            1287                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[270, 504, '93/238 (39%)', '132/238 (55%)', 146.0, '3e-38']]
NC_032095.1                                       3636943                                           PEX1                                              534960                                            538232                                            XM_716210.2                                       150                                               1.00e-37                                          86/190                                            3273                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[306, 495, '86/190 (45%)', '118/190 (62%)', 150.0, '1e-37']]
NC_032096.1                                       3642106                                           Unknown                                           1851759                                           1854059                                           XM_711177.1                                       149                                               1.00e-37                                          117/368                                           2301                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[271, 629, '117/368 (32%)', '177/368 (48%)', 149.0, '1e-37'], [297, 549, '96/257 (37%)', '138/257 (54%)', 140.0, '4e-35']]
NC_032093.1                                       3636397                                           Unknown                                           1005350                                           1009294                                           XM_716765.2                                       149                                               2.00e-37                                          98/275                                            3945                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[271, 539, '98/275 (36%)', '144/275 (52%)', 149.0, '2e-37']]
NC_032090.1                                       3643877                                           RPT6                                              1784325                                           1785530                                           XM_709347.2                                       137                                               3.00e-35                                          86/236                                            1206                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[271, 504, '86/236 (36%)', '129/236 (55%)', 137.0, '3e-35']]
NC_032090.1                                       3643436                                           PEX6                                              1112792                                           1116265                                           XM_709839.1                                       140                                               8.00e-35                                          92/249                                            3474                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[262, 506, '92/249 (37%)', '141/249 (57%)', 140.0, '8e-35']]
NC_032090.1                                       3638884                                           Unknown                                           117031                                            119571                                            XM_714412.2                                       133                                               1.00e-32                                          90/251                                            2541                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[286, 518, '90/251 (36%)', '130/251 (52%)', 133.0, '1e-32']]
NC_032093.1                                       3637733                                           Unknown                                           474758                                            475336                                            XM_715435.2                                       122                                               2.00e-32                                          67/149                                            579                                               792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[293, 441, '67/149 (45%)', '93/149 (62%)', 122.0, '2e-32']]
NC_032091.1                                       3636589                                           AFG3                                              385547                                            387934                                            XM_716653.2                                       132                                               4.00e-32                                          95/263                                            2388                                              792                                               Query= 2542410|NP_594690.1|chromosome I|sec18|-1|4718512|4721134|N/A|792|No description available                                                                                                                                                                                                                                                                                                                                                                                                                   [[265, 503, '95/263 (36%)', '133/263 (51%)', 132.0, '4e-32']]
