Total unique genes matched: 18
Unique genes (alphabetical order):
apq12 (2541009)
arg12 (2541050)
clr4 (9839843)
clr4_custom (2540825)
eca39 (2540831)
fep1 (2541522)
met17 (2540849)
meu6 (2540776)
meu6 (9844152)
mlg1 (2540846)
mob1 (2540845)
N/A (2540818)
N/A (2540852)
N/A (2540972)
not2 (2538778)
pho4 (2540606)
rhb1 (2540853)
rxt2 (2540689)

Unique genes matched on chromosome NC_003421.2: 6
Unique genes matched on chromosome NC_003423.3: 16
Unique genes matched on chromosome NC_003424.3: 5

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_003423.3                                       2540689                                           rxt2                                              451027                                            453045                                            NM_001021092.3                                    415                                               9.00e-145                                         240/240                                           1691                                              240                                               Query= 2540689|NP_595184.2|chromosome II|rxt2|-1|451026|453044|N/A|240|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 240, '240/240 (100%)', '240/240 (100%)', 415.0, '9e-145']]
NC_003424.3                                       2541522                                           fep1                                              442221                                            445721                                            NM_001018337.3                                    1132                                              0.0                                               564/564                                           3501                                              564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[1, 564, '564/564 (100%)', '564/564 (100%)', 1132.0, '0.0']]
NC_003424.3                                       90818662                                          Unknown                                           443398                                            444184                                            NR_191545.1                                       403                                               2.00e-139                                         205/205                                           787                                               564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[1, 205, '205/205 (100%)', '205/205 (100%)', 403.0, '2e-139']]
NC_003424.3                                       90818663                                          Unknown                                           444286                                            444528                                            NR_191546.1                                       163                                               4.00e-49                                          81/81                                             243                                               564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[240, 320, '81/81 (100%)', '81/81 (100%)', 163.0, '4e-49']]
NC_003424.3                                       90818664                                          Unknown                                           444958                                            445165                                            NR_191547.1                                       138                                               7.00e-40                                          69/69                                             208                                               564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[464, 532, '69/69 (100%)', '69/69 (100%)', 138.0, '7e-40']]
NC_003421.2                                       2539024                                           gaf1                                              1665533                                           1669690                                           NM_001023268.3                                    78                                                3.00e-15                                          30/52                                             4158                                              564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[172, 223, '30/52 (58%)', '38/52 (73%)', 78.2, '3e-15']]
NC_003421.2                                       2538884                                           fil1                                              811690                                            814708                                            NM_001022957.3                                    65                                                3.00e-11                                          24/45                                             3019                                              564                                               Query= 2541522|NP_592936.1|chromosome II|fep1|1|442220|445720|N/A|564|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[172, 216, '24/45 (53%)', '33/45 (73%)', 65.1, '3e-11']]
NC_003423.3                                       2540831                                           eca39                                             442344                                            443936                                            NM_001021088.3                                    890                                               0.0                                               427/427                                           1593                                              427                                               Query= 2540831|NP_595180.2|chromosome II|eca39|-1|442343|443935|N/A|427|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[1, 427, '427/427 (100%)', '427/427 (100%)', 890.0, '0.0']]
NC_003423.3                                       14217684                                          Unknown                                           443757                                            445437                                            NR_150233.1                                       110                                               2.00e-26                                          52/52                                             1681                                              427                                               Query= 2540831|NP_595180.2|chromosome II|eca39|-1|442343|443935|N/A|427|No description available                                                                                                                                                                                                                                                                                                                                                                                                                    [[1, 52, '52/52 (100%)', '52/52 (100%)', 110.0, '2e-26']]
NC_003421.2                                       2538778                                           not2                                              441536                                            442914                                            NM_001022816.3                                    637                                               0.0                                               306/306                                           1192                                              306                                               Query= 2538778|NP_587823.2|chromosome II|not2|1|441535|442913|N/A|306|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[1, 306, '306/306 (100%)', '306/306 (100%)', 637.0, '0.0']]
NC_003421.2                                       90823312                                          Unknown                                           441723                                            442901                                            NR_196195.1                                       267                                               3.00e-112                                         132/133                                           1179                                              306                                               Query= 2538778|NP_587823.2|chromosome II|not2|1|441535|442913|N/A|306|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[34, 166, '132/133 (99%)', '133/133 (100%)', 267.0, '3e-112'], [167, 239, '73/73 (100%)', '73/73 (100%)', 155.0, '3e-112'], [208, 306, '75/99 (76%)', '79/99 (80%)', 152.0, '2e-43']]
NC_003423.3                                       2540825                                           clr4                                              453996                                            458410                                            NM_001021094.3                                    1022                                              0.0                                               490/490                                           4415                                              490                                               Query= 2540825|NP_595186.1|chromosome II|clr4|-1|453995|458409|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 490, '490/490 (100%)', '490/490 (100%)', 1022.0, '0.0']]
NC_003423.3                                       90821203                                          Unknown                                           456671                                            458233                                            NR_194086.1                                       956                                               0.0                                               459/459                                           1563                                              490                                               Query= 2540825|NP_595186.1|chromosome II|clr4|-1|453995|458409|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 459, '459/459 (100%)', '459/459 (100%)', 956.0, '0.0']]
NC_003424.3                                       2542070                                           set2                                              5408180                                           5411065                                           NM_001020411.3                                    90                                                3.00e-19                                          57/178                                            2886                                              490                                               Query= 2540825|NP_595186.1|chromosome II|clr4|-1|453995|458409|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[313, 490, '57/178 (32%)', '84/178 (47%)', 90.1, '3e-19']]
NC_003421.2                                       90823296                                          Unknown                                           412768                                            413379                                            NR_196179.1                                       77                                                1.00e-16                                          48/134                                            612                                               490                                               Query= 2540825|NP_595186.1|chromosome II|clr4|-1|453995|458409|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[357, 488, '48/134 (36%)', '68/134 (51%)', 77.4, '1e-16']]
NC_003421.2                                       2538762                                           set1                                              412293                                            415947                                            NM_001022805.3                                    75                                                2.00e-14                                          50/138                                            3655                                              490                                               Query= 2540825|NP_595186.1|chromosome II|clr4|-1|453995|458409|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[353, 488, '50/138 (36%)', '70/138 (51%)', 75.1, '2e-14']]
NC_003423.3                                       2540776                                           meu6                                              454161                                            456553                                            NM_001021093.3                                    1118                                              0.0                                               651/651                                           2266                                              651                                               Query= 2540776|NP_595185.1|chromosome II|meu6|1|454160|456552|N/A|651|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[1, 651, '651/651 (100%)', '651/651 (100%)', 1118.0, '0.0']]
NC_003423.3                                       2540825                                           clr4                                              453996                                            458410                                            NM_001021094.3                                    896                                               0.0                                               528/547                                           4415                                              651                                               Query= 2540776|NP_595185.1|chromosome II|meu6|1|454160|456552|N/A|651|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[124, 651, '528/547 (97%)', '528/547 (97%)', 896.0, '0.0'], [1, 131, '125/131 (95%)', '125/131 (95%)', 213.0, '0.0']]
NC_003423.3                                       2540776                                           meu6                                              454161                                            456553                                            NM_001021093.3                                    1118                                              0.0                                               651/651                                           2266                                              651                                               Query= 9844152|NP_595185.1|chromosome II|meu6|1|454229|456311|N/A|651|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[1, 651, '651/651 (100%)', '651/651 (100%)', 1118.0, '0.0']]
NC_003423.3                                       2540825                                           clr4                                              453996                                            458410                                            NM_001021094.3                                    896                                               0.0                                               528/547                                           4415                                              651                                               Query= 9844152|NP_595185.1|chromosome II|meu6|1|454229|456311|N/A|651|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[124, 651, '528/547 (97%)', '528/547 (97%)', 896.0, '0.0'], [1, 131, '125/131 (95%)', '125/131 (95%)', 213.0, '0.0']]
NC_003423.3                                       2540825                                           clr4                                              453996                                            458410                                            NM_001021094.3                                    1022                                              0.0                                               490/490                                           4415                                              490                                               Query= 9839843|NP_595186.1|chromosome II|clr4|-1|456574|458046|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 490, '490/490 (100%)', '490/490 (100%)', 1022.0, '0.0']]
NC_003423.3                                       90821203                                          Unknown                                           456671                                            458233                                            NR_194086.1                                       956                                               0.0                                               459/459                                           1563                                              490                                               Query= 9839843|NP_595186.1|chromosome II|clr4|-1|456574|458046|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 459, '459/459 (100%)', '459/459 (100%)', 956.0, '0.0']]
NC_003424.3                                       2542070                                           set2                                              5408180                                           5411065                                           NM_001020411.3                                    90                                                3.00e-19                                          57/178                                            2886                                              490                                               Query= 9839843|NP_595186.1|chromosome II|clr4|-1|456574|458046|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[313, 490, '57/178 (32%)', '84/178 (47%)', 90.1, '3e-19']]
NC_003421.2                                       90823296                                          Unknown                                           412768                                            413379                                            NR_196179.1                                       77                                                1.00e-16                                          48/134                                            612                                               490                                               Query= 9839843|NP_595186.1|chromosome II|clr4|-1|456574|458046|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[357, 488, '48/134 (36%)', '68/134 (51%)', 77.4, '1e-16']]
NC_003421.2                                       2538762                                           set1                                              412293                                            415947                                            NM_001022805.3                                    75                                                2.00e-14                                          50/138                                            3655                                              490                                               Query= 9839843|NP_595186.1|chromosome II|clr4|-1|456574|458046|N/A|490|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[353, 488, '50/138 (36%)', '70/138 (51%)', 75.1, '2e-14']]
NC_003423.3                                       2540818                                           Unknown                                           460851                                            464017                                            NM_001021095.3                                    1630                                              0.0                                               845/845                                           3167                                              845                                               Query= 2540818|NP_595188.2|chromosome II|N/A|1|460850|464016|N/A|845|No description available                                                                                                                                                                                                                                                                                                                                                                                                                       [[1, 845, '845/845 (100%)', '845/845 (100%)', 1630.0, '0.0']]
NC_003423.3                                       14217567                                          Unknown                                           458982                                            461993                                            NR_150238.1                                       643                                               0.0                                               323/323                                           3012                                              845                                               Query= 2540818|NP_595188.2|chromosome II|N/A|1|460850|464016|N/A|845|No description available                                                                                                                                                                                                                                                                                                                                                                                                                       [[1, 323, '323/323 (100%)', '323/323 (100%)', 643.0, '0.0']]
NC_003423.3                                       90821205                                          Unknown                                           462592                                            463215                                            NR_194088.1                                       391                                               7.00e-132                                         207/207                                           624                                               845                                               Query= 2540818|NP_595188.2|chromosome II|N/A|1|460850|464016|N/A|845|No description available                                                                                                                                                                                                                                                                                                                                                                                                                       [[524, 730, '207/207 (100%)', '207/207 (100%)', 391.0, '7e-132']]
NC_003423.3                                       90821204                                          Unknown                                           462014                                            462419                                            NR_194087.1                                       266                                               2.00e-85                                          135/135                                           406                                               845                                               Query= 2540818|NP_595188.2|chromosome II|N/A|1|460850|464016|N/A|845|No description available                                                                                                                                                                                                                                                                                                                                                                                                                       [[331, 465, '135/135 (100%)', '135/135 (100%)', 266.0, '2e-85']]
NC_003423.3                                       2540849                                           met17                                             465380                                            467247                                            NM_001021096.3                                    818                                               0.0                                               429/429                                           1868                                              429                                               Query= 2540849|NP_595189.1|chromosome II|met17|1|465379|467246|N/A|429|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 429, '429/429 (100%)', '429/429 (100%)', 818.0, '0.0']]
NC_003421.2                                       2539019                                           cbl1                                              1453230                                           1454632                                           NM_001023187.3                                    128                                               5.00e-33                                          116/375                                           1403                                              429                                               Query= 2540849|NP_595189.1|chromosome II|met17|1|465379|467246|N/A|429|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[57, 429, '116/375 (31%)', '175/375 (47%)', 128.0, '5e-33']]
NC_003421.2                                       90823828                                          Unknown                                           1453152                                           1454280                                           NR_196711.1                                       95                                                8.00e-22                                          99/334                                            1129                                              429                                               Query= 2540849|NP_595189.1|chromosome II|met17|1|465379|467246|N/A|429|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[57, 388, '99/334 (30%)', '148/334 (44%)', 95.1, '8e-22']]
NC_003423.3                                       2540852                                           Unknown                                           467841                                            468924                                            NM_001021097.3                                    239                                               3.00e-82                                          116/116                                           739                                               116                                               Query= 2540852|NP_595190.1|chromosome II|N/A|-1|467840|468923|N/A|116|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[1, 116, '116/116 (100%)', '116/116 (100%)', 239.0, '3e-82']]
NC_003423.3                                       90821206                                          Unknown                                           467472                                            469096                                            NR_194089.1                                       112                                               1.00e-40                                          56/66                                             1625                                              116                                               Query= 2540852|NP_595190.1|chromosome II|N/A|-1|467840|468923|N/A|116|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[43, 108, '56/66 (85%)', '57/66 (86%)', 112.0, '1e-40'], [7, 43, '33/37 (89%)', '34/37 (92%)', 68.6, '1e-40']]
NC_003423.3                                       2540845                                           mob1                                              469388                                            470163                                            NM_001021098.3                                    447                                               6.00e-163                                         210/210                                           671                                               210                                               Query= 2540845|NP_595191.1|chromosome II|mob1|-1|469387|470162|N/A|210|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 210, '210/210 (100%)', '210/210 (100%)', 447.0, '6e-163']]
NC_003421.2                                       2539016                                           mob2                                              508043                                            510334                                            NM_001022844.3                                    160                                               1.00e-46                                          67/186                                            1771                                              210                                               Query= 2540845|NP_595191.1|chromosome II|mob1|-1|469387|470162|N/A|210|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[21, 206, '67/186 (36%)', '116/186 (62%)', 160.0, '1e-46']]
NC_003423.3                                       2540846                                           mlg1                                              470652                                            472140                                            NM_001021099.3                                    724                                               0.0                                               350/350                                           1489                                              350                                               Query= 2540846|NP_595192.1|chromosome II|mlg1|1|470651|472139|N/A|350|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[1, 350, '350/350 (100%)', '350/350 (100%)', 724.0, '0.0']]
NC_003423.3                                       90821207                                          Unknown                                           470323                                            470914                                            NR_194090.1                                       180                                               4.00e-56                                          87/87                                             592                                               350                                               Query= 2540846|NP_595192.1|chromosome II|mlg1|1|470651|472139|N/A|350|No description available                                                                                                                                                                                                                                                                                                                                                                                                                      [[1, 87, '87/87 (100%)', '87/87 (100%)', 180.0, '4e-56']]
NC_003423.3                                       14217733                                          Unknown                                           472031                                            473716                                            NR_150239.1                                       840                                               0.0                                               409/409                                           1686                                              409                                               Query= 2540972|NP_595193.1|chromosome II|N/A|1|472116|473686|N/A|409|No description available                                                                                                                                                                                                                                                                                                                                                                                                                       [[1, 409, '409/409 (100%)', '409/409 (100%)', 840.0, '0.0']]
NC_003423.3                                       2540972                                           Unknown                                           472117                                            473687                                            NM_001021100.3                                    840                                               0.0                                               409/409                                           1571                                              409                                               Query= 2540972|NP_595193.1|chromosome II|N/A|1|472116|473686|N/A|409|No description available                                                                                                                                                                                                                                                                                                                                                                                                                       [[1, 409, '409/409 (100%)', '409/409 (100%)', 840.0, '0.0']]
NC_003424.3                                       90820266                                          Unknown                                           4006252                                           4007279                                           NR_193149.1                                       63                                                2.00e-11                                          50/148                                            1028                                              409                                               Query= 2540972|NP_595193.1|chromosome II|N/A|1|472116|473686|N/A|409|No description available                                                                                                                                                                                                                                                                                                                                                                                                                       [[2, 144, '50/148 (34%)', '73/148 (49%)', 63.9, '2e-11']]
NC_003424.3                                       2541434                                           Unknown                                           4005717                                           4007656                                           NM_001356143.2                                    63                                                3.00e-11                                          50/148                                            1497                                              409                                               Query= 2540972|NP_595193.1|chromosome II|N/A|1|472116|473686|N/A|409|No description available                                                                                                                                                                                                                                                                                                                                                                                                                       [[2, 144, '50/148 (34%)', '73/148 (49%)', 63.9, '3e-11']]
NC_003424.3                                       2542506                                           Unknown                                           2885176                                           2886782                                           NM_001019392.3                                    63                                                4.00e-11                                          69/249                                            1451                                              409                                               Query= 2540972|NP_595193.1|chromosome II|N/A|1|472116|473686|N/A|409|No description available                                                                                                                                                                                                                                                                                                                                                                                                                       [[2, 234, '69/249 (28%)', '101/249 (41%)', 63.2, '4e-11']]
NC_003424.3                                       2543126                                           mtg2                                              5334899                                           5336408                                           NM_001020381.3                                    62                                                1.00e-10                                          40/112                                            1451                                              409                                               Query= 2540972|NP_595193.1|chromosome II|N/A|1|472116|473686|N/A|409|No description available                                                                                                                                                                                                                                                                                                                                                                                                                       [[7, 118, '40/112 (36%)', '55/112 (49%)', 62.0, '1e-10']]
NC_003423.3                                       2540853                                           rhb1                                              473670                                            474497                                            NM_001021101.3                                    383                                               6.00e-138                                         185/185                                           715                                               185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 185, '185/185 (100%)', '185/185 (100%)', 383.0, '6e-138']]
NC_003423.3                                       90821208                                          Unknown                                           474125                                            475010                                            NR_194091.1                                       172                                               5.00e-54                                          84/85                                             886                                               185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[20, 104, '84/85 (99%)', '85/85 (100%)', 172.0, '5e-54']]
NC_003424.3                                       2542285                                           ras1                                              2019462                                           2020631                                           NM_001019011.3                                    120                                               2.00e-33                                          58/159                                            1099                                              185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[19, 177, '58/159 (36%)', '94/159 (59%)', 120.0, '2e-33']]
NC_003424.3                                       2542177                                           leu5                                              2017808                                           2020483                                           NM_001019010.3                                    120                                               3.00e-32                                          58/159                                            2676                                              185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[19, 177, '58/159 (36%)', '94/159 (59%)', 120.0, '3e-32']]
NC_003424.3                                       2543280                                           ypt2                                              4447723                                           4449534                                           NM_001020009.3                                    102                                               6.00e-26                                          58/164                                            1812                                              185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[8, 170, '58/164 (35%)', '94/164 (57%)', 102.0, '6e-26']]
NC_003424.3                                       2542219                                           ypt3                                              2215672                                           2217134                                           NM_001356053.2                                    90                                                5.00e-22                                          57/161                                            1109                                              185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[8, 167, '57/161 (35%)', '90/161 (56%)', 90.1, '5e-22']]
NC_003423.3                                       2539784                                           ypt1                                              2932965                                           2934291                                           NM_001022124.3                                    84                                                3.00e-20                                          50/164                                            886                                               185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[8, 170, '50/164 (30%)', '90/164 (55%)', 84.7, '3e-20']]
NC_003424.3                                       14218388                                          Unknown                                           2215708                                           2216376                                           NR_151183.1                                       75                                                3.00e-17                                          47/137                                            669                                               185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[8, 143, '47/137 (34%)', '76/137 (55%)', 75.5, '3e-17']]
NC_003424.3                                       2543529                                           ryh1                                              1192702                                           1195145                                           NM_001018646.3                                    75                                                2.00e-16                                          53/161                                            2210                                              185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[4, 163, '53/161 (33%)', '85/161 (53%)', 75.5, '2e-16']]
NC_003423.3                                       2540763                                           ypt7                                              3147096                                           3148392                                           NM_001022229.3                                    73                                                7.00e-16                                          51/163                                            1162                                              185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[8, 163, '51/163 (31%)', '82/163 (50%)', 73.2, '7e-16']]
NC_003424.3                                       2543027                                           cdc42                                             1916009                                           1917656                                           NM_001018970.3                                    70                                                6.00e-15                                          51/193                                            1055                                              185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[8, 184, '51/193 (26%)', '88/193 (46%)', 70.5, '6e-15']]
NC_003424.3                                       2541612                                           rho1                                              4224071                                           4225824                                           NM_001019919.3                                    67                                                9.00e-14                                          47/175                                            1423                                              185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[1, 161, '47/175 (27%)', '85/175 (49%)', 67.4, '9e-14']]
NC_003424.3                                       3361511                                           rho3                                              1041449                                           1043083                                           NM_001018576.3                                    67                                                1.00e-13                                          57/204                                            1237                                              185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[7, 185, '57/204 (28%)', '87/204 (43%)', 67.0, '1e-13']]
NC_003424.3                                       2542013                                           rho5                                              2131685                                           2133051                                           NM_001019062.3                                    65                                                3.00e-13                                          44/168                                            1249                                              185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[7, 161, '44/168 (26%)', '81/168 (48%)', 65.9, '3e-13']]
NC_003424.3                                       2543411                                           ypt71                                             1880698                                           1881947                                           NM_001018958.3                                    65                                                4.00e-13                                          48/166                                            845                                               185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[8, 163, '48/166 (29%)', '79/166 (48%)', 65.1, '4e-13']]
NC_003424.3                                       3361476                                           rho4                                              3087013                                           3088619                                           NM_001019469.3                                    63                                                3.00e-12                                          48/183                                            1212                                              185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[6, 164, '48/183 (26%)', '77/183 (42%)', 63.2, '3e-12']]
NC_003424.3                                       2542113                                           ypt4                                              4948541                                           4950112                                           NM_001020224.3                                    63                                                3.00e-12                                          49/166                                            1524                                              185                                               Query= 2540853|NP_595194.1|chromosome II|rhb1|-1|473669|474496|N/A|185|No description available                                                                                                                                                                                                                                                                                                                                                                                                                     [[8, 167, '49/166 (30%)', '79/166 (48%)', 63.2, '3e-12']]
