Total unique genes matched: 29
Unique genes (alphabetical order):
DCC1 (3638037)
DFI1 (3638038)
FGR2 (3637988)
GBP2 (3637992)
GLN4 (3637998)
HGT12 (3638048)
HGT13 (3638047)
LEU2 (3638034)
MAC1 (3637985)
N/A (3637977)
N/A (3637978)
N/A (3637986)
N/A (3637987)
N/A (3637990)
N/A (3637991)
N/A (3637993)
N/A (3638001)
N/A (3638032)
N/A (3638033)
N/A (3638036)
N/A (3638039)
N/A (3638040)
N/A (3638042)
N/A (3638045)
N/A (3638046)
PEL1 (3637989)
PMR1 (3638043)
PSF3 (3637999)
SPL1 (3638035)

Unique genes matched on chromosome NC_032089.1: 7
Unique genes matched on chromosome NC_032090.1: 6
Unique genes matched on chromosome NC_032091.1: 5
Unique genes matched on chromosome NC_032092.1: 4
Unique genes matched on chromosome NC_032093.1: 5
Unique genes matched on chromosome NC_032094.1: 2
Unique genes matched on chromosome NC_032095.1: 29
Unique genes matched on chromosome NC_032096.1: 7

Chromosome                                        Gene ID                                           Gene Name                                         Start                                             End                                               Transcript ID                                     Score                                             E-value                                           Identities                                        Length                                            QLength                                           Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Coverage
NC_032095.1                                       3638035                                           SPL1                                              62478                                             63944                                             XM_715279.1                                       889                                               0.0                                               487/488                                           1467                                              488                                               Query= 3638035|XP_720372.1|chromosome NC_032095.1|SPL1|1|62477|63943|N/A|488|No description available                                                                                                                                                                                                                                                                                                                                                                                                               [[1, 488, '487/488 (99%)', '487/488 (99%)', 889.0, '0.0']]
NC_032095.1                                       3638038                                           DFI1                                              59071                                             60084                                             XM_715282.1                                       206                                               8.00e-65                                          106/106                                           1014                                              337                                               Query= 3638038|XP_720375.1|chromosome NC_032095.1|DFI1|1|59070|60083|N/A|337|No description available                                                                                                                                                                                                                                                                                                                                                                                                               [[1, 106, '106/106 (100%)', '106/106 (100%)', 206.0, '8e-65'], [221, 337, '116/117 (99%)', '116/117 (99%)', 120.0, '4e-32']]
NC_032095.1                                       3638039                                           Unknown                                           56058                                             57377                                             XM_715283.1                                       596                                               0.0                                               438/439                                           1320                                              439                                               Query= 3638039|XP_720376.1|chromosome NC_032095.1|N/A|-1|56057|57376|N/A|439|No description available                                                                                                                                                                                                                                                                                                                                                                                                               [[1, 439, '438/439 (99%)', '438/439 (99%)', 596.0, '0.0']]
NC_032095.1                                       3638040                                           Unknown                                           52951                                             55866                                             XM_715284.1                                       1864                                              0.0                                               968/971                                           2916                                              971                                               Query= 3638040|XP_720377.1|chromosome NC_032095.1|N/A|-1|52950|55865|N/A|971|No description available                                                                                                                                                                                                                                                                                                                                                                                                               [[1, 971, '968/971 (99%)', '968/971 (99%)', 1864.0, '0.0']]
NC_032095.1                                       3638042                                           Unknown                                           51707                                             52855                                             XM_715286.1                                       778                                               0.0                                               381/382                                           1149                                              382                                               Query= 3638042|XP_720379.1|chromosome NC_032095.1|N/A|-1|51706|52854|N/A|382|No description available                                                                                                                                                                                                                                                                                                                                                                                                               [[1, 382, '381/382 (99%)', '381/382 (99%)', 778.0, '0.0']]
NC_032095.1                                       3638043                                           PMR1                                              48461                                             51214                                             XM_715287.1                                       1849                                              0.0                                               916/917                                           2754                                              917                                               Query= 3638043|XP_720380.1|chromosome NC_032095.1|PMR1|-1|48460|51213|N/A|917|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[1, 917, '916/917 (99%)', '916/917 (99%)', 1849.0, '0.0']]
NC_032089.1                                       3639291                                           ENA2                                              59349                                             62552                                             XM_713939.1                                       394                                               8.00e-122                                         317/1033                                          3204                                              917                                               Query= 3638043|XP_720380.1|chromosome NC_032095.1|PMR1|-1|48460|51213|N/A|917|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[13, 904, '317/1033 (31%)', '504/1033 (49%)', 394.0, '8e-122']]
NC_032095.1                                       3641392                                           ENA21                                             629776                                            632691                                            XM_711899.2                                       379                                               5.00e-117                                         298/958                                           2916                                              917                                               Query= 3638043|XP_720380.1|chromosome NC_032095.1|PMR1|-1|48460|51213|N/A|917|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[83, 915, '298/958 (31%)', '482/958 (50%)', 379.0, '5e-117']]
NC_032091.1                                       3636627                                           PMC1                                              264875                                            268510                                            XM_716705.1                                       264                                               2.00e-74                                          257/975                                           3636                                              917                                               Query= 3638043|XP_720380.1|chromosome NC_032095.1|PMR1|-1|48460|51213|N/A|917|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[24, 837, '257/975 (26%)', '435/975 (45%)', 264.0, '2e-74']]
NC_032096.1                                       3640085                                           Unknown                                           372034                                            373998                                            XM_713127.2                                       239                                               1.00e-68                                          188/666                                           1965                                              917                                               Query= 3638043|XP_720380.1|chromosome NC_032095.1|PMR1|-1|48460|51213|N/A|917|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[324, 914, '188/666 (28%)', '312/666 (47%)', 239.0, '1e-68']]
NC_032091.1                                       3640531                                           PMA1                                              133119                                            135806                                            XM_712666.2                                       233                                               9.00e-65                                          201/716                                           2688                                              917                                               Query= 3638043|XP_720380.1|chromosome NC_032095.1|PMR1|-1|48460|51213|N/A|917|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[36, 745, '201/716 (28%)', '353/716 (49%)', 233.0, '9e-65']]
NC_032090.1                                       3635815                                           Unknown                                           496573                                            500625                                            XM_717522.2                                       127                                               4.00e-30                                          171/734                                           4053                                              917                                               Query= 3638043|XP_720380.1|chromosome NC_032095.1|PMR1|-1|48460|51213|N/A|917|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[126, 767, '171/734 (23%)', '294/734 (40%)', 127.0, '4e-30']]
NC_032096.1                                       3640086                                           Unknown                                           374212                                            375279                                            XM_713128.1                                       95                                                2.00e-21                                          58/147                                            1068                                              917                                               Query= 3638043|XP_720380.1|chromosome NC_032095.1|PMR1|-1|48460|51213|N/A|917|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[118, 258, '58/147 (39%)', '88/147 (60%)', 95.1, '2e-21']]
NC_032089.1                                       3634826                                           CRP1                                              2030997                                           2034590                                           XM_718377.2                                       76                                                2.00e-14                                          107/429                                           3594                                              917                                               Query= 3638043|XP_720380.1|chromosome NC_032095.1|PMR1|-1|48460|51213|N/A|917|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[302, 723, '107/429 (25%)', '176/429 (41%)', 76.3, '2e-14']]
NC_032093.1                                       3637821                                           CCC2                                              668022                                            671636                                            XM_715541.2                                       70                                                1.00e-12                                          56/180                                            3615                                              917                                               Query= 3638043|XP_720380.1|chromosome NC_032095.1|PMR1|-1|48460|51213|N/A|917|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[542, 708, '56/180 (31%)', '86/180 (48%)', 70.1, '1e-12']]
NC_032095.1                                       3638045                                           Unknown                                           47152                                             47988                                             XM_715289.1                                       484                                               8.00e-176                                         277/278                                           837                                               278                                               Query= 3638045|XP_720382.1|chromosome NC_032095.1|N/A|-1|47151|47987|N/A|278|No description available                                                                                                                                                                                                                                                                                                                                                                                                               [[1, 278, '277/278 (99%)', '277/278 (99%)', 484.0, '8e-176']]
NC_032095.1                                       3638046                                           Unknown                                           46309                                             47109                                             XM_715290.1                                       524                                               0.0                                               266/266                                           801                                               266                                               Query= 3638046|XP_720383.1|chromosome NC_032095.1|N/A|1|46308|47108|N/A|266|No description available                                                                                                                                                                                                                                                                                                                                                                                                                [[1, 266, '266/266 (100%)', '266/266 (100%)', 524.0, '0.0']]
NC_032095.1                                       3638047                                           HGT13                                             43379                                             45102                                             XM_019475473.1                                    1013                                              0.0                                               549/552                                           1659                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[1, 552, '549/552 (99%)', '549/552 (99%)', 1013.0, '0.0']]
NC_032094.1                                       3640309                                           HGT10                                             817349                                            818989                                            XM_712996.2                                       303                                               5.00e-97                                          190/529                                           1641                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[32, 552, '190/529 (36%)', '287/529 (54%)', 303.0, '5e-97']]
NC_032091.1                                       3635201                                           HGT5                                              1158476                                           1160710                                           XM_718121.1                                       198                                               8.00e-56                                          160/524                                           2235                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[22, 532, '160/524 (31%)', '252/524 (48%)', 198.0, '8e-56']]
NC_032096.1                                       3646404                                           HGT9                                              1101386                                           1103358                                           XM_019475543.1                                    181                                               8.00e-51                                          145/486                                           1722                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[51, 512, '145/486 (30%)', '239/486 (49%)', 181.0, '8e-51']]
NC_032096.1                                       3643185                                           HGT3                                              860662                                            862605                                            XM_710040.2                                       167                                               2.00e-45                                          140/484                                           1944                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[44, 513, '140/484 (29%)', '237/484 (49%)', 167.0, '2e-45']]
NC_032090.1                                       3638873                                           HGT6                                              170189                                            171841                                            XM_714376.2                                       157                                               5.00e-42                                          144/557                                           1653                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[2, 539, '144/557 (26%)', '255/557 (46%)', 157.0, '5e-42']]
NC_032090.1                                       3638876                                           HGT7                                              164439                                            166079                                            XM_714379.2                                       153                                               9.00e-41                                          143/556                                           1641                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[11, 546, '143/556 (26%)', '251/556 (45%)', 153.0, '9e-41']]
NC_032090.1                                       3638875                                           HGT8                                              167263                                            168915                                            XM_714378.2                                       152                                               1.00e-40                                          139/522                                           1653                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[39, 546, '139/522 (27%)', '248/522 (48%)', 152.0, '1e-40']]
NC_032091.1                                       3635269                                           HGT4                                              1060721                                           1062967                                           XM_718080.1                                       150                                               3.00e-39                                          132/475                                           2247                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[46, 511, '132/475 (28%)', '224/475 (47%)', 150.0, '3e-39']]
NC_032089.1                                       3644579                                           HGT2                                              434412                                            436049                                            XM_708669.2                                       145                                               7.00e-38                                          135/526                                           1638                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[48, 552, '135/526 (26%)', '241/526 (46%)', 145.0, '7e-38']]
NC_032096.1                                       3646026                                           HGT16                                             1582853                                           1584550                                           XM_707255.2                                       136                                               7.00e-35                                          133/525                                           1698                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[47, 547, '133/525 (25%)', '244/525 (46%)', 136.0, '7e-35']]
NC_032089.1                                       3645420                                           HGT1                                              406673                                            408310                                            XM_707859.2                                       131                                               2.00e-33                                          141/545                                           1638                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[32, 552, '141/545 (26%)', '247/545 (45%)', 131.0, '2e-33']]
NC_032095.1                                       3638048                                           HGT12                                             41587                                             43167                                             XM_715292.1                                       121                                               6.00e-30                                          128/514                                           1581                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[47, 552, '128/514 (25%)', '222/514 (43%)', 121.0, '6e-30']]
NC_032091.1                                       3640558                                           HGT19                                             28278                                             30170                                             XM_712726.1                                       117                                               3.00e-28                                          123/461                                           1893                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[60, 512, '123/461 (27%)', '204/461 (44%)', 117.0, '3e-28']]
NC_032090.1                                       3643440                                           ITR1                                              1030003                                           1031667                                           XM_709792.2                                       106                                               8.00e-25                                          110/473                                           1665                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[42, 506, '110/473 (23%)', '214/473 (45%)', 106.0, '8e-25']]
NC_032092.1                                       3635687                                           HGT17                                             217108                                            218946                                            XM_717658.2                                       85                                                5.00e-18                                          105/471                                           1839                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[90, 537, '105/471 (22%)', '213/471 (45%)', 85.5, '5e-18']]
NC_032096.1                                       3648320                                           HGT14                                             1677339                                           1679117                                           XM_704988.2                                       83                                                2.00e-17                                          103/418                                           1779                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[60, 466, '103/418 (25%)', '184/418 (44%)', 83.6, '2e-17']]
NC_032093.1                                       3636420                                           MAL31                                             1074184                                           1075950                                           XM_716797.2                                       72                                                7.00e-14                                          104/400                                           1767                                              552                                               Query= 3638047|XP_019331018.1|chromosome NC_032095.1|HGT13|-1|43378|45101|N/A|552|No description available                                                                                                                                                                                                                                                                                                                                                                                                          [[139, 518, '104/400 (26%)', '186/400 (47%)', 72.4, '7e-14']]
NC_032095.1                                       3638048                                           HGT12                                             41587                                             43167                                             XM_715292.1                                       1033                                              0.0                                               524/526                                           1581                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[1, 526, '524/526 (99%)', '524/526 (99%)', 1033.0, '0.0']]
NC_032091.1                                       3635269                                           HGT4                                              1060721                                           1062967                                           XM_718080.1                                       454                                               2.00e-153                                         215/458                                           2247                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 495, '215/458 (47%)', '313/458 (68%)', 454.0, '2e-153']]
NC_032090.1                                       3638876                                           HGT7                                              164439                                            166079                                            XM_714379.2                                       293                                               2.00e-93                                          167/469                                           1641                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 496, '167/469 (36%)', '251/469 (54%)', 293.0, '2e-93']]
NC_032090.1                                       3638875                                           HGT8                                              167263                                            168915                                            XM_714378.2                                       287                                               4.00e-91                                          162/469                                           1653                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 496, '162/469 (35%)', '252/469 (54%)', 287.0, '4e-91']]
NC_032090.1                                       3638873                                           HGT6                                              170189                                            171841                                            XM_714376.2                                       284                                               7.00e-90                                          165/499                                           1653                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 526, '165/499 (33%)', '258/499 (52%)', 284.0, '7e-90']]
NC_032096.1                                       3646404                                           HGT9                                              1101386                                           1103358                                           XM_019475543.1                                    221                                               2.00e-65                                          158/475                                           1722                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 482, '158/475 (33%)', '245/475 (52%)', 221.0, '2e-65']]
NC_032089.1                                       3644579                                           HGT2                                              434412                                            436049                                            XM_708669.2                                       184                                               4.00e-52                                          129/479                                           1638                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[74, 525, '129/479 (27%)', '234/479 (49%)', 184.0, '4e-52']]
NC_032089.1                                       3645420                                           HGT1                                              406673                                            408310                                            XM_707859.2                                       167                                               5.00e-46                                          136/511                                           1638                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 525, '136/511 (27%)', '243/511 (48%)', 167.0, '5e-46']]
NC_032091.1                                       3635201                                           HGT5                                              1158476                                           1160710                                           XM_718121.1                                       164                                               6.00e-44                                          125/462                                           2235                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 482, '125/462 (27%)', '217/462 (47%)', 164.0, '6e-44']]
NC_032096.1                                       3646026                                           HGT16                                             1582853                                           1584550                                           XM_707255.2                                       159                                               7.00e-43                                          146/515                                           1698                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 520, '146/515 (28%)', '237/515 (46%)', 159.0, '7e-43']]
NC_032096.1                                       3643185                                           HGT3                                              860662                                            862605                                            XM_710040.2                                       155                                               2.00e-41                                          117/447                                           1944                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 482, '117/447 (26%)', '211/447 (47%)', 155.0, '2e-41']]
NC_032090.1                                       3643440                                           ITR1                                              1030003                                           1031667                                           XM_709792.2                                       135                                               1.00e-34                                          123/462                                           1665                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 481, '123/462 (27%)', '206/462 (45%)', 135.0, '1e-34']]
NC_032094.1                                       3640309                                           HGT10                                             817349                                            818989                                            XM_712996.2                                       134                                               2.00e-34                                          116/475                                           1641                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 498, '116/475 (24%)', '202/475 (43%)', 134.0, '2e-34']]
NC_032096.1                                       3643209                                           HXT5                                              762146                                            763934                                            XM_019475528.1                                    133                                               8.00e-34                                          120/447                                           1689                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[62, 484, '120/447 (27%)', '212/447 (47%)', 133.0, '8e-34']]
NC_032096.1                                       3648320                                           HGT14                                             1677339                                           1679117                                           XM_704988.2                                       132                                               2.00e-33                                          128/473                                           1779                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 491, '128/473 (27%)', '211/473 (45%)', 132.0, '2e-33']]
NC_032095.1                                       3638047                                           HGT13                                             43379                                             45102                                             XM_019475473.1                                    129                                               1.00e-32                                          118/462                                           1659                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[42, 484, '118/462 (26%)', '210/462 (45%)', 129.0, '1e-32']]
NC_032091.1                                       3640558                                           HGT19                                             28278                                             30170                                             XM_712726.1                                       123                                               3.00e-30                                          100/400                                           1893                                              526                                               Query= 3638048|XP_720385.1|chromosome NC_032095.1|HGT12|1|41586|43166|N/A|526|No description available                                                                                                                                                                                                                                                                                                                                                                                                              [[94, 482, '100/400 (25%)', '184/400 (46%)', 123.0, '3e-30']]
